ID;soft d1;stiff d1;soft d3;stiff d3;soft d7;stiff d7;soft d14;stiff d14
ENSG00000000460;0;1;0;0;0;0;0;0
ENSG00000000938;0;0;0;0;0;0;1;0
ENSG00000001084;0;0;0;1;0;1;1;1
ENSG00000002745;0;1;0;0;0;0;0;0
ENSG00000002746;0;0;1;0;1;0;0;0
ENSG00000003137;0;0;0;0;1;1;1;1
ENSG00000003147;0;1;0;0;1;0;1;1
ENSG00000003400;0;0;0;1;0;0;0;0
ENSG00000003989;0;1;1;1;1;1;1;1
ENSG00000004799;1;1;1;1;1;1;1;1
ENSG00000005059;0;0;0;0;0;1;0;0
ENSG00000005108;0;0;0;0;1;0;1;0
ENSG00000005187;0;0;0;0;0;0;1;0
ENSG00000005189;0;1;0;0;0;1;0;0
ENSG00000005249;0;0;1;1;1;1;1;1
ENSG00000005513;0;1;0;0;0;0;0;0
ENSG00000006016;0;0;1;1;1;1;1;1
ENSG00000006062;0;1;0;0;0;0;0;0
ENSG00000006128;0;0;0;1;1;1;1;1
ENSG00000006210;0;0;0;0;0;0;1;1
ENSG00000006283;0;0;0;1;1;1;1;1
ENSG00000006432;0;1;0;0;0;0;0;0
ENSG00000006453;0;0;1;0;1;0;0;1
ENSG00000006459;0;1;0;0;0;0;0;0
ENSG00000006625;0;0;0;0;0;0;1;0
ENSG00000006638;0;0;0;0;0;0;1;0
ENSG00000007174;0;0;0;0;0;0;1;0
ENSG00000007237;0;0;0;0;0;0;1;1
ENSG00000007255;0;0;0;0;0;0;1;0
ENSG00000007314;0;0;0;0;0;0;1;0
ENSG00000007968;1;1;1;1;1;1;1;0
ENSG00000008083;1;1;0;0;0;0;0;0
ENSG00000008323;0;0;0;0;0;1;1;0
ENSG00000008394;0;0;0;0;1;0;1;1
ENSG00000008513;1;1;0;0;0;0;0;0
ENSG00000009950;0;0;0;0;1;0;1;1
ENSG00000010310;1;1;0;1;0;0;0;0
ENSG00000010319;0;0;0;0;1;1;1;1
ENSG00000010379;0;1;0;0;0;0;0;0
ENSG00000011201;1;1;1;1;0;0;0;1
ENSG00000011347;0;0;0;0;0;0;1;0
ENSG00000011426;1;1;1;1;1;1;1;1
ENSG00000011465;0;0;1;1;0;0;0;0
ENSG00000012048;0;1;0;1;0;0;0;0
ENSG00000012660;0;0;0;0;0;0;1;0
ENSG00000013293;1;1;0;1;0;0;0;0
ENSG00000013297;1;1;0;0;0;0;0;0
ENSG00000013588;0;1;1;1;1;0;1;1
ENSG00000013810;0;0;0;0;0;0;1;0
ENSG00000017373;0;0;0;0;0;0;1;0
ENSG00000017483;0;0;0;0;0;0;1;0
ENSG00000018625;0;0;1;0;1;0;1;1
ENSG00000019582;0;0;0;0;1;1;1;1
ENSG00000019991;0;0;1;1;1;1;1;1
ENSG00000021645;1;1;1;1;0;0;0;0
ENSG00000022267;0;0;0;0;0;0;1;0
ENSG00000023909;0;0;0;0;0;1;0;1
ENSG00000024526;1;1;1;0;1;0;1;0
ENSG00000025039;1;1;0;0;0;0;1;1
ENSG00000025423;0;1;0;0;0;0;0;0
ENSG00000025434;0;0;0;0;1;1;1;1
ENSG00000026559;1;1;1;1;1;1;1;1
ENSG00000028277;0;0;0;0;0;1;1;0
ENSG00000029534;0;0;0;1;1;0;1;1
ENSG00000029559;0;0;0;0;0;0;1;0
ENSG00000031691;0;1;0;0;0;0;0;0
ENSG00000034063;1;0;1;1;1;1;1;1
ENSG00000035499;1;1;1;1;1;0;0;1
ENSG00000036448;0;0;0;0;0;0;1;0
ENSG00000039537;0;0;0;0;0;0;1;1
ENSG00000042286;0;0;0;0;0;0;1;0
ENSG00000042445;0;0;0;0;0;0;1;1
ENSG00000042832;1;0;0;0;0;0;0;0
ENSG00000047457;0;0;0;0;1;0;0;1
ENSG00000047936;0;0;0;1;0;1;0;1
ENSG00000048540;1;1;0;0;0;0;0;0
ENSG00000049192;0;0;0;0;0;0;1;0
ENSG00000049540;0;0;0;1;1;1;1;1
ENSG00000050344;0;1;0;0;0;0;0;0
ENSG00000050628;0;0;0;0;1;0;1;1
ENSG00000051180;0;1;0;1;1;1;1;1
ENSG00000051341;0;1;0;1;1;0;1;1
ENSG00000051620;0;0;0;0;0;0;1;0
ENSG00000052802;0;0;0;0;1;1;1;1
ENSG00000053747;0;0;0;0;1;1;1;1
ENSG00000054356;0;0;0;1;0;0;0;0
ENSG00000054690;0;0;0;0;0;0;1;0
ENSG00000055163;0;0;0;0;0;0;0;1
ENSG00000055957;0;0;0;0;1;1;1;1
ENSG00000056998;0;0;0;0;1;0;1;0
ENSG00000057019;0;0;1;1;1;0;1;1
ENSG00000057294;0;0;0;0;0;0;1;0
ENSG00000057657;0;0;0;1;0;0;0;0
ENSG00000059377;0;0;0;1;0;0;0;0
ENSG00000059804;0;0;0;0;0;0;1;0
ENSG00000059915;0;1;0;0;0;0;0;0
